id,nama bahan,kategori
CP025,Emping komak,Lauk
CP026,Enting-enting gepuk hello kity,Lauk
CP027,Enting-enting gepuk kacang tanah,Lauk
CP028,Enting-enting wijen,Lauk
CP029,Geplak,Lauk
CP030,Geplak jahe,Lauk
CR001,"Kacang arab, kering",Lauk
CP031,Kacang atom,Lauk
CR002,"Kacang babi, kering",Lauk
CR003,"Kacang belimbing (kecipir), kering",Lauk
CP001,"Kacang belimbing (kecipir), rebus",Lauk
CR004,"Kacang beracun, segar",Lauk
CP002,"Kacang bogor, goreng",Lauk
CR005,"Kacang bogor, kering",Lauk
CP003,"Kacang bogor, rebus",Lauk
CR006,"Kacang bogor, segar",Lauk
CR007,"Kacang endel, biji, kering",Lauk
CR008,"Kacang ercis, segar",Lauk
CR009,"Kacang galing, segar",Lauk
CP032,Kacang goyang,Lauk
CR010,"Kacang gude, biji, kering",Lauk
CR011,"Kacang gude, biji, segar",Lauk
CP004,"Kacang gude, rebus",Lauk
CR012,"Kacang hijau var. bakti, kering",Lauk
CR013,"Kacang hijau var. siwalik, kering",Lauk
CR014,"Kacang hijau, kering",Lauk
CP005,"Kacang hijau, rebus",Lauk
CR015,"Kacang hitam, kering",Lauk
CR016,"Kacang kapri, segar",Lauk
CP006,"Kacang kedelai, goreng",Lauk
CR017,"Kacang kedelai, kering",Lauk
CP007,"Kacang kedelai, rebus",Lauk
CR018,"Kacang kedelai, segar",Lauk
CR019,"Kacang kincai, kering",Lauk
CR020,"Kacang komak, segar",Lauk
CR021,"Kacang kuning, kering",Lauk
CR022,"Kacang lebui /iris, kering",Lauk
CR023,"Kacang mentega, kering",Lauk
CP008,"Kacang merah kering, rebus",Lauk
CP009,"Kacang merah segar, rebus",Lauk
CR025,"Kacang merah tua, kering",Lauk
CR026,"Kacang merah, kering",Lauk
CR027,"Kacang merah, segar",Lauk
CR024,"Kacang merah/banda, kering",Lauk
CP010,"Kacang mete/biji jambu monyet, goreng",Lauk
CR028,"Kacang mete/biji jambu monyet, segar",Lauk
CP033,Kacang negara,Lauk
CR029,"Kacang panjang, biji, kering",Lauk
CP034,Kacang sukro,Lauk
CP011,Kacang tanah rebus dg kulit,Lauk
CR030,Kacang tanah sangan,Lauk
CR031,Kacang tanah sangan tanpa selaput,Lauk
CP035,Kacang tanah sari,Lauk
CP012,"Kacang tanah, goreng",Lauk
CR032,"Kacang tanah, kering",Lauk
CP013,"Kacang tanah, rebus",Lauk
CR033,"Kacang tolo / tunggak, kering",Lauk
CP014,"Kacang tolo / tunggak, rebus",Lauk
CR034,"Kacang tunis, kering",Lauk
CR035,"Kacang uci, kering",Lauk
CR036,"Kacang urei, kering",Lauk
CP036,"Keju kacang tanah (peanut butter)"",Lauk
CP037,Kembang tahu,Lauk
CP038,"Kembang tahu rebus",Lauk
CR037,"Kenari banda, kering",Lauk
CR038,"Kenari, kering",Lauk
CP039,Keripik oncom,Lauk
CP040,Keripik tempe,Lauk
CP041,Keripik tempe abadi besar,Lauk
CP042,Keripik tempe abadi murni,Lauk
CP045,Keripik tempe abadi prima,Lauk
CP043,Keripik tempe abadi sedang,Lauk
CP044,Keripik tempe abadi telur,Lauk
CR039,"Komak polong, segar",Lauk
CR040,"Koro andong, kering",Lauk
CR041,"Koro benguk, biji, kering",Lauk
CR042,"Koro kerupuk, biji, segar",Lauk
CR043,"Koro loke, biji, segar",Lauk
CR044,"Koro roay, kering",Lauk
CR045,"Koro wedus, biji, kering",Lauk
CP046,"Kwaci",Lauk
CR046,"Lamtoro biji, muda, segar",Lauk
CR047,"Lamtoro biji, tua, segar",Lauk
CR048,Lamtoro var. gung tanpa kulit,Lauk
CR049,Lamtoro var. lokal dengan kulit,Lauk
CP047,Melinjo emping tebal goreng manis,Lauk
CP048,"Melinjo emping tebal, goreng asin",Lauk
CP049,Melinjo emping tipis goreng,Lauk
CP050,Moon tahu,Lauk
CR050,"Nangka, biji, segar",Lauk
CP051,Oncom,Lauk
CP052,Oncom ampas kacang hijau,Lauk
CP053,Oncom kacang hijau + singkong,Lauk
CP054,Oncom kacang tanah pepes,Lauk
CP019,Pepes oncom ampas tahu,Lauk
CP055,Rempeyek kacang tanah,Lauk
CP056,Rempeyek kacang tolo,Lauk
CP057,Rempeyek kacang uci,Lauk
CR051,"Saga merah terkupas, mentah",Lauk
CP059,"Saridele, bubuk",Lauk
CP058,Sayur lebui,Lauk
CP060,Susu kedelai,Lauk
CP062,"Tahu goreng",Lauk
CP063,"Tahu telur",Lauk
CP061,"Tahu, mentah",Lauk
CP064,"Takwa",Lauk
CP065,"Tauco",Lauk
CP066,"Tauco cap beruang, cake",Lauk
CP067,"Tauco cap DAS, cake",Lauk
CP068,Tauco cap meong,Lauk
CP069,Tauji cap singa,Lauk
CP070,"Tempe bongkrek",Lauk
CP071,"Tempe gembus",Lauk
CP072,Tempe gembus yogya,Lauk
CP073,Tempe kacang babi,Lauk
CP074,Tempe kecipir (kacang belimbing),Lauk
CP075,Tempe kedelai + jagung,Lauk
CP076,"Tempe kedelai murni, goreng",Lauk
CP077,"Tempe kedelai murni, mentah",Lauk
CP078,Tempe koro benguk,Lauk
CP079,Tempe lamtoro,Lauk
CP080,Tempe lamtoro var. gung dengan kulit,Lauk
CP081,Tempe lamtoro var. gung tanpa kulit,Lauk
CP082,"Tempe pasar",Lauk
CP083,"Tempe pasar goreng",Lauk
CP084,Tepung hunkwe (pati kacang ijo),Lauk
CP085,Tepung Jalejo,Lauk
CP086,Tepung kacang kedelai,Lauk
CR052,"Wijen, mentah",Lauk
